Scenario,N_Prompt,N_Gen,Mode,Run,Total_Time_s,Prefill_TPS,Decode_TPS
C4_Estresse,3500,500,06_Attn_FFN,5,193.60,58.25,4.33
C4_Estresse,3500,500,07_Tudo,5,486.30,13.05,2.57
C4_Estresse,3500,500,00_Baseline,6,121.86,62.71,9.77
C4_Estresse,3500,500,01_KV,6,387.00,13.47,4.68
C4_Estresse,3500,500,02_Attn,6,139.88,64.92,7.25
C4_Estresse,3500,500,03_FFN,6,166.82,61.61,5.37
C4_Estresse,3500,500,04_KV_Attn,6,377.20,15.81,3.73
C4_Estresse,3500,500,05_KV_FFN,6,391.72,14.80,3.79
C4_Estresse,3500,500,06_Attn_FFN,6,188.48,63.75,4.33
C4_Estresse,3500,500,07_Tudo,6,457.59,13.82,2.77
C4_Estresse,3500,500,00_Baseline,7,125.33,59.76,9.80
C4_Estresse,3500,500,01_KV,7,372.46,14.59,4.46
C4_Estresse,3500,500,02_Attn,7,139.17,64.74,7.29
C4_Estresse,3500,500,03_FFN,7,167.79,61.85,5.36
C4_Estresse,3500,500,04_KV_Attn,7,22.55,N/A,N/A
C4_Estresse,3500,500,05_KV_FFN,7,14.66,N/A,N/A
C4_Estresse,3500,500,06_Attn_FFN,7,189.67,63.76,4.32
C4_Estresse,3500,500,07_Tudo,7,14.12,N/A,N/A
C4_Estresse,3500,500,00_Baseline,8,123.54,60.27,10.02
C4_Estresse,3500,500,01_KV,8,14.19,N/A,N/A
C4_Estresse,3500,500,02_Attn,8,16.47,N/A,N/A
C4_Estresse,3500,500,03_FFN,8,170.85,61.88,5.29
C4_Estresse,3500,500,04_KV_Attn,8,15.55,N/A,N/A
C4_Estresse,3500,500,05_KV_FFN,8,14.66,N/A,N/A
C4_Estresse,3500,500,06_Attn_FFN,8,188.92,65.85,4.28
C4_Estresse,3500,500,07_Tudo,8,14.85,N/A,N/A
C4_Estresse,3500,500,00_Baseline,9,123.45,60.02,10.12
C4_Estresse,3500,500,01_KV,9,14.65,N/A,N/A
C4_Estresse,3500,500,02_Attn,9,16.44,N/A,N/A
C4_Estresse,3500,500,03_FFN,9,169.01,62.81,5.25
C4_Estresse,3500,500,04_KV_Attn,9,15.19,N/A,N/A
C4_Estresse,3500,500,05_KV_FFN,9,14.46,N/A,N/A
C4_Estresse,3500,500,06_Attn_FFN,9,190.00,61.40,4.36
C4_Estresse,3500,500,07_Tudo,9,14.82,N/A,N/A
C4_Estresse,3500,500,00_Baseline,10,126.28,57.39,9.92
C4_Estresse,3500,500,01_KV,10,14.50,N/A,N/A
C4_Estresse,3500,500,02_Attn,10,16.89,N/A,N/A
C4_Estresse,3500,500,03_FFN,10,169.47,60.48,5.41
C4_Estresse,3500,500,04_KV_Attn,10,15.26,N/A,N/A
C4_Estresse,3500,500,05_KV_FFN,10,14.70,N/A,N/A
C4_Estresse,3500,500,06_Attn_FFN,10,193.93,58.64,4.41
C4_Estresse,3500,500,07_Tudo,10,14.43,N/A,N/A
C5_Controle,64,64,00_Baseline,1,19.26,87.51,15.95
C5_Controle,64,64,01_KV,1,19.78,86.03,15.65
C5_Controle,64,64,02_Attn,1,22.59,73.88,9.68
C5_Controle,64,64,03_FFN,1,26.37,85.52,6.65
