Scenario,N_Prompt,N_Gen,Mode,Run,Total_Time_s,Prefill_TPS,Decode_TPS
C4_Estresse,3500,500,07_Tudo,7,14.05,N/A,N/A
C4_Estresse,3500,500,00_Baseline,8,193.54,30.88,7.84
C4_Estresse,3500,500,01_KV,8,15.20,N/A,N/A
C4_Estresse,3500,500,02_Attn,8,17.38,N/A,N/A
C4_Estresse,3500,500,03_FFN,8,227.90,32.51,4.82
C4_Estresse,3500,500,04_KV_Attn,8,15.10,N/A,N/A
C4_Estresse,3500,500,05_KV_FFN,8,15.25,N/A,N/A
C4_Estresse,3500,500,06_Attn_FFN,8,249.66,32.80,4.04
C4_Estresse,3500,500,07_Tudo,8,15.19,N/A,N/A
C4_Estresse,3500,500,00_Baseline,9,192.63,30.97,7.83
C4_Estresse,3500,500,01_KV,9,13.94,N/A,N/A
C4_Estresse,3500,500,02_Attn,9,17.07,N/A,N/A
C4_Estresse,3500,500,03_FFN,9,229.71,32.54,4.81
C4_Estresse,3500,500,04_KV_Attn,9,14.41,N/A,N/A
C4_Estresse,3500,500,05_KV_FFN,9,13.93,N/A,N/A
C4_Estresse,3500,500,06_Attn_FFN,9,249.64,32.82,4.04
C4_Estresse,3500,500,07_Tudo,9,14.21,N/A,N/A
C4_Estresse,3500,500,00_Baseline,10,193.58,30.83,7.84
C4_Estresse,3500,500,01_KV,10,13.85,N/A,N/A
C4_Estresse,3500,500,02_Attn,10,17.51,N/A,N/A
C4_Estresse,3500,500,03_FFN,10,228.34,32.61,4.86
C4_Estresse,3500,500,04_KV_Attn,10,15.74,N/A,N/A
C4_Estresse,3500,500,05_KV_FFN,10,15.34,N/A,N/A
C4_Estresse,3500,500,06_Attn_FFN,10,251.33,32.74,4.05
C4_Estresse,3500,500,07_Tudo,10,15.66,N/A,N/A
C5_Controle,64,64,00_Baseline,1,20.30,78.81,15.31
C5_Controle,64,64,01_KV,1,19.25,83.65,14.73
C5_Controle,64,64,02_Attn,1,22.41,82.88,9.51
C5_Controle,64,64,03_FFN,1,25.89,77.67,6.66
C5_Controle,64,64,04_KV_Attn,1,24.19,82.02,9.28
C5_Controle,64,64,05_KV_FFN,1,27.41,77.42,6.55
C5_Controle,64,64,06_Attn_FFN,1,30.96,77.26,5.24
C5_Controle,64,64,07_Tudo,1,30.34,76.90,5.08
C5_Controle,64,64,00_Baseline,2,19.64,84.21,15.31
C5_Controle,64,64,01_KV,2,20.52,82.94,14.71
C5_Controle,64,64,02_Attn,2,22.32,83.67,9.49
C5_Controle,64,64,03_FFN,2,26.55,76.64,6.65
C5_Controle,64,64,04_KV_Attn,2,22.70,83.29,9.28
C5_Controle,64,64,05_KV_FFN,2,26.52,77.10,6.56
C5_Controle,64,64,06_Attn_FFN,2,30.91,77.45,5.24
C5_Controle,64,64,07_Tudo,2,31.80,76.81,5.08
C5_Controle,64,64,00_Baseline,3,19.62,83.89,15.26
C5_Controle,64,64,01_KV,3,19.18,84.63,14.78
C5_Controle,64,64,02_Attn,3,23.78,82.79,9.50
C5_Controle,64,64,03_FFN,3,27.09,77.35,6.66
C5_Controle,64,64,04_KV_Attn,3,23.40,82.72,9.28
C5_Controle,64,64,05_KV_FFN,3,26.39,77.43,6.56
C5_Controle,64,64,06_Attn_FFN,3,29.42,77.28,5.24
C5_Controle,64,64,07_Tudo,3,31.45,76.66,5.08
C5_Controle,64,64,00_Baseline,4,18.77,84.45,15.29
C5_Controle,64,64,01_KV,4,19.23,84.25,14.71
C5_Controle,64,64,02_Attn,4,23.74,82.75,9.50
C5_Controle,64,64,03_FFN,4,25.89,78.07,6.65
C5_Controle,64,64,04_KV_Attn,4,22.76,83.38,9.28
C5_Controle,64,64,05_KV_FFN,4,27.89,77.38,6.55
C5_Controle,64,64,06_Attn_FFN,4,30.65,76.35,5.24
C5_Controle,64,64,07_Tudo,4,30.81,73.86,5.07
C5_Controle,64,64,00_Baseline,5,18.77,84.45,15.31
C5_Controle,64,64,01_KV,5,20.51,83.61,14.76
C5_Controle,64,64,02_Attn,5,22.41,81.99,9.50
C5_Controle,64,64,03_FFN,5,27.20,76.75,6.65
C5_Controle,64,64,04_KV_Attn,5,24.18,82.66,9.28
C5_Controle,64,64,05_KV_FFN,5,27.90,76.78,6.55
C5_Controle,64,64,06_Attn_FFN,5,31.03,77.55,5.24
C5_Controle,64,64,07_Tudo,5,31.84,76.48,5.08
C5_Controle,64,64,00_Baseline,6,20.07,84.37,15.30
C5_Controle,64,64,01_KV,6,20.52,81.42,14.74
C5_Controle,64,64,02_Attn,6,22.31,83.46,9.50
C5_Controle,64,64,03_FFN,6,27.44,77.25,6.66
C5_Controle,64,64,04_KV_Attn,6,22.94,82.51,9.29
C5_Controle,64,64,05_KV_FFN,6,26.43,77.05,6.55
C5_Controle,64,64,06_Attn_FFN,6,30.90,77.66,5.24
C5_Controle,64,64,07_Tudo,6,30.56,76.61,5.08
C5_Controle,64,64,00_Baseline,7,20.04,83.97,15.30
C5_Controle,64,64,01_KV,7,20.53,82.98,14.74
C5_Controle,64,64,02_Attn,7,23.88,81.14,9.51
C5_Controle,64,64,03_FFN,7,25.86,77.16,6.66
C5_Controle,64,64,04_KV_Attn,7,24.36,83.07,9.27
C5_Controle,64,64,05_KV_FFN,7,26.37,77.69,6.55
C5_Controle,64,64,06_Attn_FFN,7,29.56,77.58,5.24
C5_Controle,64,64,07_Tudo,7,30.78,77.04,5.08
C5_Controle,64,64,00_Baseline,8,18.71,84.39,15.27
C5_Controle,64,64,01_KV,8,19.76,83.51,14.72
C5_Controle,64,64,02_Attn,8,22.89,82.78,9.51
C5_Controle,64,64,03_FFN,8,25.88,78.34,6.65
C5_Controle,64,64,04_KV_Attn,8,22.83,83.89,9.28
C5_Controle,64,64,05_KV_FFN,8,26.44,76.33,6.55
C5_Controle,64,64,06_Attn_FFN,8,29.46,77.70,5.24
C5_Controle,64,64,07_Tudo,8,30.52,76.66,5.09
